beat,filename,start_s,end_s,duration_s,timestamp,text
1,001_00m00s-00m05s.png,0.0,4.8,4.8,00m00s-00m05s,"The screen lights up Alex's face in the dark. 11:47pm, Friday."
2,002_00m05s-00m11s.png,4.8,11.34,6.54,00m05s-00m11s,"""24-HOUR SALE — 30% OFF. ENDS TONIGHT."" His thumb moves before he's finished reading it."
3,003_00m11s-00m16s.png,11.34,16.14,4.8,00m11s-00m16s,He doesn't buy. Not yet — not for three more hours.
4,004_00m16s-00m19s.png,16.14,19.19,3.05,00m16s-00m19s,"At 2:50am, he finally taps ""confirm order."""
5,005_00m19s-00m24s.png,19.19,23.99,4.8,00m19s-00m24s,"Ask him when he decided, and he'll say right now. 2:50am."
6,006_00m24s-00m30s.png,23.99,30.1,6.11,00m24s-00m30s,He's wrong. The decision happened at 11:47pm — the instant the screen lit up.
7,007_00m30s-00m36s.png,30.1,35.77,5.67,00m30s-00m36s,"Three hours he didn't need. The transaction was already finished, in his head."
8,008_00m36s-00m43s.png,35.77,42.75,6.98,00m36s-00m43s,"By the time money changed hands, his brain had already cashed in and left the building."
9,009_00m43s-00m48s.png,42.75,48.42,5.67,00m43s-00m48s,"Multiply that by every notification this year, and the pattern gets expensive fast."
10,010_00m48s-00m52s.png,48.42,51.91,3.49,00m48s-00m52s,Here's what nobody tells you about impulse spending.
11,011_00m52s-00m55s.png,51.91,54.96,3.05,00m52s-00m55s,It's not that you're weak at 3am.
12,012_00m55s-01m01s.png,54.96,61.07,6.11,00m55s-01m01s,It's that your brain already got its reward before you ever paid for anything.
13,013_01m01s-01m04s.png,61.07,64.12,3.05,01m01s-01m04s,Three traps run this system. Not one.
14,014_01m04s-01m07s.png,64.12,66.74,2.62,01m04s-01m07s,The first one feels like excitement.
15,015_01m07s-01m09s.png,66.74,69.36,2.62,01m07s-01m09s,The second one feels like relief.
16,016_01m09s-01m15s.png,69.36,75.03,5.67,01m09s-01m15s,The third one — the one nobody suspects — feels like moving on.
17,017_01m15s-01m20s.png,75.03,80.26,5.23,01m15s-01m20s,"Let's time this out to the minute, so nothing gets rewritten later."
18,018_01m20s-01m28s.png,80.26,87.68,7.42,01m20s-01m28s,"Six months ago, Alex got the same kind of notification. He didn't buy anything that day either."
19,019_01m28s-01m35s.png,87.68,95.1,7.42,01m28s-01m35s,His heart rate still climbed. His thumb still reached for the phone before his brain caught up.
20,020_01m35s-01m43s.png,95.1,103.38,8.28,01m35s-01m43s,"Wolfram Schultz — University of Cambridge — ran an experiment with monkeys, a light, and a squirt of juice."
21,021_01m43s-01m48s.png,103.38,108.18,4.8,01m43s-01m48s,"Every time the light came on, juice followed two seconds later."
22,022_01m48s-01m52s.png,108.18,112.11,3.93,01m48s-01m52s,Schultz measured the monkeys' dopamine neurons the entire time.
23,023_01m52s-01m56s.png,112.11,116.03,3.92,01m52s-01m56s,"At first, the neurons fired when the juice arrived."
24,024_01m56s-01m59s.png,116.03,118.65,2.62,01m56s-01m59s,"After a few repetitions, something changed."
25,025_01m59s-02m02s.png,118.65,121.71,3.06,01m59s-02m02s,The neurons stopped firing for the juice.
26,026_02m02s-02m04s.png,121.71,123.89,2.18,02m02s-02m04s,They fired for the light.
27,027_02m04s-02m10s.png,123.89,129.56,5.67,02m04s-02m10s,Not a metaphor. A measured shift in exactly which moment produces the chemical.
28,028_02m10s-02m12s.png,129.56,132.17,2.61,02m10s-02m12s,Researchers call this reward prediction error.
29,029_02m12s-02m17s.png,132.17,136.54,4.37,02m12s-02m17s,The brain doesn't reward you for getting what you expected.
30,030_02m17s-02m22s.png,136.54,141.77,5.23,02m17s-02m22s,It rewards you for the signal that something good might be coming.
31,031_02m22s-02m24s.png,141.77,144.39,2.62,02m22s-02m24s,We call this the Maybe Hit.
32,032_02m24s-02m27s.png,144.39,147.44,3.05,02m24s-02m27s,That's what happened to Alex at 11:47pm.
33,033_02m27s-02m32s.png,147.44,152.24,4.8,02m27s-02m32s,The notification was the light. The 30% discount was the juice.
34,034_02m32s-02m37s.png,152.24,157.04,4.8,02m32s-02m37s,"His dopamine had already fired in bed, three hours before checkout."
35,035_02m37s-02m39s.png,157.04,158.78,1.74,02m37s-02m39s,Not because he's impulsive.
36,036_02m39s-02m44s.png,158.78,164.02,5.24,02m39s-02m44s,"But because his brain already got paid the moment the ""maybe"" appeared."
37,037_02m44s-02m48s.png,164.02,167.94,3.92,02m44s-02m48s,This isn't a lack of self-control. This is neuroscience.
38,038_02m48s-02m52s.png,167.94,171.87,3.93,02m48s-02m52s,"The purchase itself, at 2:50am, was almost chemically irrelevant."
39,039_02m52s-02m57s.png,171.87,177.11,5.24,02m52s-02m57s,The Brain Villain had already collected its reward and left the room.
40,040_02m57s-03m02s.png,177.11,181.9,4.79,02m57s-03m02s,That's the first trap. It doesn't feel like a chemical event.
41,041_03m02s-03m04s.png,181.9,183.65,1.75,03m02s-03m04s,It feels like excitement.
42,042_03m04s-03m09s.png,183.65,188.88,5.23,03m04s-03m09s,If your brain is doing this to you right now — subscribe.
43,043_03m09s-03m12s.png,188.88,192.37,3.49,03m09s-03m12s,We break down a new bias every week.
44,044_03m12s-03m13s.png,192.37,193.25,0.88,03m12s-03m13s,It's free.
45,045_03m13s-03m17s.png,193.25,197.17,3.92,03m13s-03m17s,And it might save you more than you think.
