Ref.,Titulo,Freepik ID,Tipo,"URL de descarga (firmada, ~1h)"
generic_shelf,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,video,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
network_anim,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,video,https://videocdn.cdnpk.net/videos/20a5e384-1ab4-5472-b787-ad3d4aa8bab3/horizontal/downloads/original.mp4?filename=0_Avatar_Network_4096x2160.mp4&user_id=102901249&token=exp=1785670200~id=102901249~hmac=bd5194bed5af293b6ecf96bfb8ef81626cd4392998d2afff60917d0f642d9a86
magnifier_doc,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,video,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
cert_stamp,Stamp with CERTIFIED text of flat style isolated on white background,3982793,video,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
handshake_boardroom,"Business people handshake in boardroom, corporate partnership deal",2466239,video,https://videocdn.cdnpk.net/videos/245db588-fd06-4b82-b1fb-563f9975b15e/horizontal/downloads/4k.mp4?filename=4982260_African_American_Agreement_3840x2160.mp4&user_id=102901249&token=exp=1785670205~id=102901249~hmac=d6eeb84ea676f6ef980ab35ce7a503714648ad7ecb3e70b69b53bbf4ca00d0f3
vintage_factory,"Archival footage, women working in factories, 1915",98280,video,https://videocdn.cdnpk.net/videos/5bbd8a80-31ad-44e5-8f15-e32470633cbc/horizontal/downloads/1080p.mp4?filename=614135_1910s_1915_1920x1080.mp4&user_id=102901249&token=exp=1785670206~id=102901249~hmac=0aac611d9180e6963cca9a61bc6f8a050d470df5e4856997dad3d2cb128c5e97
aisle_dolly,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,video,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
spain_flag1,Waving Flag of Spain,8567147,video,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
two_bottles_compare,Two bottles of olive oil and extra virgin olive,2310359,video,https://videocdn.cdnpk.net/videos/5f999d43-ab68-44c4-9a16-3abe9a26ccd5/horizontal/downloads/4k.mp4?filename=5812797_Coll_wavebreak_Bottles_3840x2160.mp4&user_id=102901249&token=exp=1785670210~id=102901249~hmac=b2331d48b36aa9108c03e9c544e9bb456dc2f397df2448bfdd03f4202281425f
modern_oil_factory,Interior of modern natural oil factory,6067479,video,https://videocdn.cdnpk.net/videos/f7b03d1c-55ca-5f3e-9b86-04da9fd91d1b/square/downloads/original.mp4?filename=0_Bottling_Manufacturing_1920x1920.mp4&user_id=102901249&token=exp=1785670212~id=102901249~hmac=45e3b817dbf35cb79ce1862264cc8b7f6e135900dba0e02e3fe1253ad8f61f5f
hand_cart_cans,Hand of elegant shopper reaches into metal grocery cart to lift two tins of canned food by precise fingertips,5954197,video,https://videocdn.cdnpk.net/videos/ed9362a8-26b0-5c49-95a1-1aacd85fb8a0/horizontal/downloads/4k.mp4?filename=0_Consumer_Shopper_3840x2160.mp4&user_id=102901249&token=exp=1785670179~id=102901249~hmac=6fbd37c4306b5fe66ac552af4f5d2dcf117cb7148076ddae5e088158c4739307
hand_holding_tuna,Women holding a canned tuna,2476908,video,https://videocdn.cdnpk.net/videos/27156b88-c406-4fbb-93ca-466b084a20c1/horizontal/downloads/4k.mp4?filename=4993647_Package_Women_3840x2160.mp4&user_id=102901249&token=exp=1785670222~id=102901249~hmac=37613f8933ddb0cda1a974945a6d81a8dd1bcaa692a71e2c930b562b498c1497
network_converge,Animation of network of connections and data processing over dark background,4721014,video,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
cans_aligned_low,"A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,video,https://videocdn.cdnpk.net/videos/6770ac80-a5a2-56dd-993d-bde6afbeff10/horizontal/downloads/4k.mp4?filename=0_Vegetables_Setting_3840x2160.mp4&user_id=102901249&token=exp=1785670225~id=102901249~hmac=ce3b67c60fb7786e94947de46597199beb88cbc5a1a10d7d7556457071d140c7
opening_tuna_dramatic,A close-up sequence shows hands opening a pull-tab can of tuna chunks in mineral water,6168409,video,https://videocdn.cdnpk.net/videos/7cb99d8f-bd24-5dff-a3df-c3be9f146713/horizontal/downloads/original.mp4?filename=0_Opening_Canned_Tuna_Pulltab_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670226~id=102901249~hmac=e7f1e937f42e7c643f5626b69c6f625919a90d1476c78e4a0538bd79ca144b6e
reading_glass_files,Animation of reading glass and text over files,2082900,video,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
cans_colorful_shelf,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,video,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
opening_tuna_can,Opening a can of tuna,5044250,video,https://videocdn.cdnpk.net/videos/6212eed0-4fcf-5714-b930-25dd2af70509/horizontal/downloads/original.mp4?filename=0_Tuna_Canned_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670231~id=102901249~hmac=02c9f6befff633b616a7c85013162a7231afcae123122b9b81e2d75aa7f8af48
canned_tuna_plain,Canned Tuna,3420831,video,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
cannery_conveyor,Closeup of cans moving on a conveyor belt in a food production line,3455151,video,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
rocky_island_aerial,Stunning aerial view of rocky island surrounded by ocean waves,6758697,video,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
