Ref.,Titulo del clip,Stock ID,Nº de beats,Beats asociados
shelf_oils,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,25,"4, 31, 63-66, 71, 104, 112, 140-142, 155, 179-184, 230, 255-257, 265, 309"
yellow_cap,Close-up of a Bottle with Yellow Cap,3811676,23,"16-20, 45-47, 78-79, 159-161, 195, 221, 235-237, 266, 310-311, 410, 444"
magnifier_doc,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,20,"7-8, 48, 87-88, 125-126, 162-164, 200-201, 228-229, 324-325, 351-354"
generic_shelf,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,20,"32, 67, 72, 105-107, 156, 185-188, 205-207, 233-234, 276-279"
bottling_line,Automated Beverage Bottling Line,5540725,18,"36-41, 118, 152-153, 158, 190-193, 232, 260-262"
network_anim,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,15,"13-15, 33, 68, 73, 108-109, 157, 189, 231, 258-259, 264, 308"
two_bottles_compare,Two bottles of olive oil and extra virgin olive,2310359,14,"76-77, 111, 165-168, 196, 222-223, 267-268, 312-313"
stone_mill,Traditional Olive Oil Production,5593361,13,"80-86, 197, 224, 269-270, 378-379"
cert_stamp,Stamp with CERTIFIED text of flat style isolated on white background,3982793,12,"316-318, 345-347, 372-374, 380-381, 411"
premium_bottle,An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,11,"5-6, 120-121, 238, 275, 355-359"
andalusia_street,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,11,"194, 217-220, 263, 303-307"
euros_rotating,Rotating Around Euros,6285,10,"21-24, 202-204, 280-282"
three_bottles,"Three glass bottles with handles containing olive oil, closed with cork stopper, with a bowl of olives",5465997,9,"25-27, 407-409, 441-443"
olive_grove_aerial,Aerial View of Olive Grove Landscape,6956087,9,"34-35, 69-70, 319-323"
bottle_pouring,Pouring pure Extra Virgin Olive Oil,606843,9,"123-124, 273-274, 377, 404-406, 419"
lab_pipette,Scientist using pipette 4k,1864061,8,"9, 119, 154, 198-199, 225-227"
olive_grove_sunset,Vast Olive Grove at Sunset,6163120,8,"44, 115, 148-150, 343, 368-369"
world_map_port,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,8,"114, 144-147, 239-241"
family_olive_grove,Video of drone of a family playfully runs through olive groves,5682519,8,"344, 370-371, 376, 400-403"
granada_groves,"Trees and olive groves in green landscapes, Granada, Spain",7055616,8,"135-139, 438-440"
tasting_reaction,Woman Tastes Tea In A Glass And Smiles In Her House,5079112,6,"122, 414-418"
dark_bottle_label,Hand holding a small dark green glass bottle with a red cap,3717430,5,"348-350, 412-413"
vintage_factory,"Archival footage, women working in factories, 1915",98280,5,"90-93, 283"
branches_wind2,Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,5,210-214
branch_daylight,Close view of olive tree branch with leaves moving in daylight,7504652,5,332-336
bottles_row,Bottles of Cooking Oil,5177810,4,"12, 74-75, 110"
conveyor_bottles,Bottled Drink Production Line,5540686,4,"43, 116-117, 151"
olive_grove_hillside,Vast Olive Grove at Sunset,6163120,4,"314, 382-384"
aisle_colorful,A Vibrant Aisle of Colorful Products in a Modern Supermarket,6451901,4,"58-59, 177-178"
handshake1,"Hand shake, diversity partnership",1233440,4,288-291
handshake_negotiation,"Executives Reach Handshake Across Meeting Table, Negotiation Scene",7819113,4,127-130
stock_down,"Red candles stock market down, arrow drop",6169589,4,284-287
lab_testtubes2,Scientist holding a plate of colorful test tubes with liquid solutions,8182467,4,388-391
reading_label1,African American Woman Reading Label on Olive Oil Bottle,6935335,4,173-176
reading_label2,"Woman choosing products in supermarket, reading label on bottle of oil",2362890,4,94-97
golden_pour1,Close-up of Golden Olive Oil Pouring onto a Green Olive,8006564,4,360-363
adding_machine,Close up of printed numbers adding up with plus symbols on a paper roll,7223545,4,297-300
olive_press_workshop,Workshop with large stone wheel and old equipment for pressing olive oil,2537351,3,"89, 271-272"
olive_harvest_people,People In Olive Orchard Collecting Fruit In The Harvest Season,6127160,3,"375, 398-399"
couple_cooking,Couple cooking in the kitchen,2947891,3,429-431
senior_woman_salad,Happy senior woman mixing salad in sunny kitchen,3169363,3,433-435
spoon_olives,"The olives are in a spoon, olive oil flows",4312045,3,337-339
harvest_process,Olive harvesting process,6277209,3,242-244
sunset_dolly,Dolly Shot Of Sun Setting Behind Olive Trees,3322694,3,292-294
pruning_aerial,Aerial video of a man pruning olive tree with chainsaw,1255745,3,326-328
harvest_rack,Farmer harvesting olive with rack,1848680,3,329-331
spanish_harvest_hand,Spanish man harvesting olive trees in a sunny field by hand,1060909,3,248-250
price_tags1,Price tags at a market stall with blurred fresh produce,6143948,3,55-57
branches_wind1,Branches with young green olives swinging in the wind,222576,3,245-247
boxes_shelves,Warehouse shelves filled with stacked cardboard boxes,6684302,3,52-54
forklift_boxes,A forklift carries stacked cardboard boxes along a warehouse aisle,8410557,3,132-134
branch_bottles,Olive tree branches with small bottles of olive oil,6643654,3,340-342
oil_factory_worker2,Female worker working in oil factory,1848716,3,395-397
oil_can_factory,Olive oil can being kept on table in oil factory,2955969,3,252-254
buyer_choosing,The buyer chooses olive oil in the supermarket,151138,2,1-2
receipt_check,Person Checking Bill Or Receipt For Supermarket Shopping Basket Full Of Basic Food Items,687809,2,"3, 420"
aisle_dolly,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,2,10-11
opening_cap,Hand opening a bottle cap with a bottle opener,5474555,2,28-29
port_containers,Aerial View of a Busy Container Port,5883923,2,"113, 143"
salad_pour1,Pouring Olive Oil on a Fresh Salad,3522160,2,424-425
salad_pour3,Pouring hand tilting olive oil bottle over salad on counter,7402383,2,427-428
handshake_boardroom,"Business people handshake in boardroom, corporate partnership deal",2466239,2,49-50
spain_flag1,Waving Flag of Spain,8567147,2,208-209
price_tags2,Close-up of Price Tags at a Market Stall,3520905,2,98-99
price_tag_grocery,Grocery store food price tag,6008763,2,171-172
counting_euros2,"Hands counting new fifty euro bills, money stack",989385,2,295-296
counting_euros3,Woman counting fifty and one hundred euro bills,6947932,2,422-423
lab_testtubes1,A wooden rack holds test tubes filled with colorful liquids,5712239,2,365-366
lab_reagent,Chemist drips reagent into test tube with yellow liquid,1747463,2,392-393
restabal_village,"Restábal, a white village in the Lecrín Valley, Granada, Spain",6976685,2,386-387
highway_olives,Aerial pan shot of a highway in the south of Spain surrounded by olive fields,1106294,2,436-437
vintage_calculator1,Person Using an Old Red Calculator,3750206,2,102-103
modern_oil_factory,Interior of modern natural oil factory,6067479,2,61-62
technicians_oil,Technicians examining olive oil,1848743,2,301-302
warehouse_barrels,Red and Blue Industrial Barrels Stored in an Outdoor Warehouse Yard,7249724,1,42
hand_picking_olives,Close view of hand picking black olives from green tree branches,6295653,1,315
salad_pour2,"Tilting bottle pouring oil over tomato, onion, basil",8663762,1,426
cart_timelapse,"An empty grocery cart drives a grocery supermarket, time lapse",4244202,1,170
cart_aisle,Shopping Cart in a Supermarket Aisle,6154249,1,169
stock_decline1,"Decreasing trend red line graph, stock market stagnation",6590339,1,30
stock_crash,Stock Market Crash Red Arrow Graph Going Down Into Recession,4045992,1,131
woman_pour_veg,Biracial woman pouring oil on vegetables in baking tray,2717206,1,432
man_olives,Relaxed man enjoys typical olives soaked in olive oil,2508365,1,367
spain_flag2,Spain national flag waving on flagpole,3082160,1,421
harvest_electric_rake,Farmer harvesting olives using electric rake,6052701,1,385
spanish_harvest_dog,Typical Spanish man harvesting olives with his dog and old tools,839038,1,216
price_tag3,Price tag for produce at a market,5303140,1,251
forklift1,Forklift operator steering down warehouse aisle carrying pallet of boxes,8378084,1,51
forklift2,Warehouse Forklift Operation,3862405,1,100
golden_flow,Golden olive oil flowing smoothly during processing,7291357,1,364
bottle_pour2,Olive Oil Pouring from Bottle,3878595,1,394
cazorla_grove,"Endless rows of olive trees around Cazorla village, Andalusia, Spain",666966,1,215
news_bankruptcy,Bankruptcy news headline in different articles,2439631,1,60
oil_factory_worker1,Female worker working in oil factory,1848714,1,101
