Ref.,Titulo del clip,Freepik ID,Tipo
generic_shelf,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,video
network_anim,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,video
magnifier_doc,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,video
cert_stamp,Stamp with CERTIFIED text of flat style isolated on white background,3982793,video
handshake_boardroom,"Business people handshake in boardroom, corporate partnership deal",2466239,video
vintage_factory,"Archival footage, women working in factories, 1915",98280,video
aisle_dolly,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,video
spain_flag1,Waving Flag of Spain,8567147,video
reading_label_store,"Customer in the supermarket during pandemic time, reading the label on the pack of coffee",1455528,video
elegant_table,"Minimalist table setting with white plate, fork, and knife arranged neatly",5070095,video
world_map_network,Blue world map with growing white network of connected icons on black background,1948107,video
bar_chart_growth,Animated Bar Chart Showing Progressive Growth of Colorful Data Columns,9083856,video
checklist_anim,Animated Checklist on Clipboard with Stopwatch for Task Completion,7352827,video
share_button_glow,Animated Share Button Glowing on Black Background,7196718,video
finger_share_phone,Finger on Share Button on Mobile Phone,4838647,video
youtube_share_anim,Premium Youtube Share Animation 1,7055249,video
kitchen_scale,Close up of kitchen digital weighing scale displaying zero with metallic container placed on top,5302538,video
warning_icon,Alert sign attention mark caution icon triangle exclamation mark danger warning emergency hazard,5695539,video
cans_aligned_low,"A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,video
instant_coffee_pour_mug,Over the shoulder shot of instant coffee being poured into mug,5851832,video
instant_coffee_jar,Instant Coffee in a Jar,3742829,video
coffee_powder_add_cup,Adding Coffee Powder to Cup,3739958,video
coffee_granules_pour_jar,Pouring coffee granuals into a jar,1075121,video
coffee_beans_roasting,"Close up macro shot of roasting coffee beans in a hot oven, thick smoke",1009750,video
coffee_beans_drum_roaster,Close-up roasted coffee beans moving and mixing in drum roaster in slow motion,395194,video
coffee_beans_falling_pile,Close camera movement through falling fresh coffee beans into a pile on wooden surface,1176322,video
coffee_beans_conveyor,Roasted Coffee Beans In Package On Conveyor Belt In Factory. Coffee Production,4993249,video
woman_browsing_shelves,A Young Woman Browsing Grocery Shelves in an Aisle Filled with Various Food Products,6247619,video
espresso_pour_crema,Espresso shots being poured into glass with steam,680663,video
coffee_cup_steam,Close-up of a cup of coffee with steam rising from it,3477731,video
sugar_cube_splash,Sugar cube falling in coffee cup and splashing,3070550,video
barista_espresso,Barista skillfully prepares a rich espresso shot using fresh coffee beans in a cozy cafe,6853142,video
coffee_shop_specialty,"Young man in cafe studying menu, artisanal coffee signage, shelves of beans",7874407,video
moka_pot_beans,"Freshly ground coffee beans in a moka pot, ready for brewing, close-up shot",5678612,video
coffee_capsule_machine,Closeup making coffee from a capsule in an automated Nespresso machine,764598,video
colombia_flag,Colombia flag waving in a clear sky day,969584,video
mexico_flag,Mexico national flag waving on flagpole,3087468,video
coffee_farmer_picking,"A Colombian farmer picking coffee beans in coffee plantation farm, Sierra Nevada Colombia",5693405,video
hand_stirring_coffee,Hand stirring coffee with a spoon,3682294,video
