Sección,Beat #,Texto del guión,Shot (descripción real),Freepik ID,Duración (s),Inicio,Fin,CapCut Motion,Ref. shot
HOOK,1,Para.,Hand of elegant shopper reaches into metal grocery cart to lift two tins of canned food by precise fingertips,5954197,0.4,00:00.00,00:00.40,ZOOM IN SLOW · 4s,hand_cart_cans
HOOK,2,"Antes de echar esa lata de atún al carro, mira",Women holding a canned tuna,2476908,3.6,00:00.40,00:04.00,PAN RIGHT · 4s,hand_holding_tuna
HOOK,3,bien el nombre de la marca.,Women holding a canned tuna,2476908,2.1,00:04.00,00:06.10,ZOOM OUT SLOW · 4s,hand_holding_tuna
HOOK,4,"Ahora imagina a tu prima, en otro país, a miles",Animation of network of connections and data processing over dark background,4721014,3.6,00:06.10,00:09.70,STATIC,network_converge
HOOK,5,"de kilómetros, echando a su carro una lata completamente distinta.",Animation of network of connections and data processing over dark background,4721014,3.6,00:09.70,00:13.30,PAN LEFT · 4s,network_converge
HOOK,6,Convencida de que está comprando algo diferente a lo tuyo.,"A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,3.6,00:13.30,00:16.90,DIAGONAL PAN + ZOOM IN · 4s,cans_aligned_low
HOOK,7,Las dos acaban de pagarle a la misma empresa.,A close-up sequence shows hands opening a pull-tab can of tuna chunks in mineral water,6168409,3.2,00:16.90,00:20.10,ZOOM IN FAST · 2s,opening_tuna_dramatic
HOOK,8,No es una coincidencia.,Animation of reading glass and text over files,2082900,1.4,00:20.10,00:21.50,PAN UP · 4s,reading_glass_files
HOOK,9,Es el negocio real de al menos tres de las,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.6,00:21.50,00:25.10,ZOOM IN SLOW · 4s,cans_colorful_shelf
HOOK,10,siete marcas de atún más vendidas de todo el mundo,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.6,00:25.10,00:28.70,PAN RIGHT · 4s,cans_colorful_shelf
HOOK,11,"hispanohablante ahora mismo, desde España hasta Chile, desde México hasta Ecuador.",A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.9,00:28.70,00:32.60,ZOOM OUT SLOW · 4s,cans_colorful_shelf
HOOK,12,"Y una de esas siete es, probablemente, la marca que",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.6,00:32.60,00:36.20,STATIC,magnifier_doc
HOOK,13,más veces ha entrado en tu cocina en toda tu vida.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.9,00:36.20,00:40.10,PAN LEFT · 4s,magnifier_doc
HOOK,14,Todavía no te vamos a decir cuál.,Opening a can of tuna,5044250,2.5,00:40.10,00:42.60,DIAGONAL PAN + ZOOM IN · 4s,opening_tuna_can
HOOK,15,"Esto está documentado: registros mercantiles, prensa económica, memorias de sostenibilidad",Hand of elegant shopper reaches into metal grocery cart to lift two tins of canned food by precise fingertips,5954197,3.6,00:42.60,00:46.20,ZOOM IN FAST · 2s,hand_cart_cans
HOOK,16,"que las propias empresas publican por su cuenta, orgullosas.",Hand of elegant shopper reaches into metal grocery cart to lift two tins of canned food by precise fingertips,5954197,3.2,00:46.20,00:49.40,PAN UP · 4s,hand_cart_cans
HOOK,17,Lo único donde nunca aparece es en la lata que,Women holding a canned tuna,2476908,3.6,00:49.40,00:53.00,ZOOM IN SLOW · 4s,hand_holding_tuna
