Sección,Beat #,Texto del guión,Shot (descripción),Stock ID,Duración (s),Inicio,Fin,CapCut Motion,Ref. hoja Shots
HOOK,1,Entre 2022 y 2024 el precio del aceite de oliva,The buyer chooses olive oil in the supermarket,151138,3.4,00:00.00,00:03.40,ZOOM IN SLOW · 4s,buyer_choosing
HOOK,2,en España se triplicó.,The buyer chooses olive oil in the supermarket,151138,1.4,00:03.40,00:04.80,PAN RIGHT · 4s,buyer_choosing
HOOK,3,Lo viste en el súper.,Person Checking Bill Or Receipt For Supermarket Shopping Basket Full Of Basic Food Items,687809,1.7,00:04.80,00:06.50,ZOOM OUT SLOW · 4s,receipt_check
HOOK,4,Lo viste en tu ticket.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,1.7,00:06.50,00:08.20,STATIC,shelf_oils
HOOK,5,"Y mientras el precio subía, las botellas seguían diciendo exactamente",An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,3.4,00:08.20,00:11.60,PAN LEFT · 4s,premium_bottle
HOOK,6,"lo mismo: virgen extra, primera presión en frío, calidad superior.",An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,3.4,00:11.60,00:15.00,DIAGONAL PAN + ZOOM IN · 4s,premium_bottle
HOOK,7,España produce alrededor del 45% de todo el aceite de,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,00:15.00,00:18.40,ZOOM IN FAST · 2s,magnifier_doc
HOOK,8,"oliva del mundo, según datos del Consejo Oleícola Internacional.",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.1,00:18.40,00:21.50,PAN UP · 4s,magnifier_doc
HOOK,9,"La provincia de Jaén, ella sola, produce más que Italia y Grecia juntas.",Scientist using pipette 4k,1864061,4.5,00:21.50,00:26.00,ZOOM IN SLOW · 4s,lab_pipette
HOOK,10,"Y aun así, la mayoría de los compradores no sabría",A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,3.4,00:26.00,00:29.40,PAN RIGHT · 4s,aisle_dolly
HOOK,11,distinguir un virgen extra real de una imitación bien etiquetada.,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,3.4,00:29.40,00:32.80,ZOOM OUT SLOW · 4s,aisle_dolly
HOOK,12,"El problema es que ""virgen extra"" no es una promesa de marketing.",Bottles of Cooking Oil,5177810,4.1,00:32.80,00:36.90,STATIC,bottles_row
HOOK,13,"Es una categoría legal, con un límite de acidez, con","Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.4,00:36.90,00:40.30,PAN LEFT · 4s,network_anim
HOOK,14,"un panel de cata obligatorio, con reglas que muy pocas","Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.4,00:40.30,00:43.70,DIAGONAL PAN + ZOOM IN · 4s,network_anim
HOOK,15,botellas del pasillo cumplen realmente cuando se analizan a fondo.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.4,00:43.70,00:47.10,ZOOM IN FAST · 2s,network_anim
HOOK,16,Hoy vamos a revisar siete de las marcas más vendidas,Close-up of a Bottle with Yellow Cap,3811676,3.4,00:47.10,00:50.50,PAN UP · 4s,yellow_cap
HOOK,17,"en España y Latinoamérica, y por qué la estructura de",Close-up of a Bottle with Yellow Cap,3811676,3.4,00:50.50,00:53.90,ZOOM IN SLOW · 4s,yellow_cap
HOOK,18,"cada una —quién la fabrica, quién la posee, qué categoría",Close-up of a Bottle with Yellow Cap,3811676,3.4,00:53.90,00:57.30,PAN RIGHT · 4s,yellow_cap
HOOK,19,de aceite esconde detrás del nombre— hace que pagues más,Close-up of a Bottle with Yellow Cap,3811676,3.4,00:57.30,01:00.70,ZOOM OUT SLOW · 4s,yellow_cap
HOOK,20,de lo que crees por menos de lo que piensas.,Close-up of a Bottle with Yellow Cap,3811676,3.4,01:00.70,01:04.10,STATIC,yellow_cap
HOOK,21,Europol y la Oficina Europea de Lucha contra el Fraude,Rotating Around Euros,6285,3.4,01:04.10,01:07.50,PAN LEFT · 4s,euros_rotating
HOOK,22,llevan años realizando operaciones conjuntas contra el fraude alimentario en,Rotating Around Euros,6285,3.4,01:07.50,01:10.90,DIAGONAL PAN + ZOOM IN · 4s,euros_rotating
HOOK,23,"Europa, y el aceite de oliva aparece de forma recurrente",Rotating Around Euros,6285,3.4,01:10.90,01:14.30,ZOOM IN FAST · 2s,euros_rotating
HOOK,24,"entre los productos investigados, junto a la miel y el vino.",Rotating Around Euros,6285,3.8,01:14.30,01:18.10,PAN UP · 4s,euros_rotating
HOOK,25,No hace falta que exista una trama criminal para que,"Three glass bottles with handles containing olive oil, closed with cork stopper, with a bowl of olives",5465997,3.4,01:18.10,01:21.50,ZOOM IN SLOW · 4s,three_bottles
HOOK,26,el consumidor salga perdiendo: muchas veces basta con que la,"Three glass bottles with handles containing olive oil, closed with cork stopper, with a bowl of olives",5465997,3.4,01:21.50,01:24.90,PAN RIGHT · 4s,three_bottles
HOOK,27,ley permita justo lo suficiente de ambigüedad.,"Three glass bottles with handles containing olive oil, closed with cork stopper, with a bowl of olives",5465997,2.4,01:24.90,01:27.30,ZOOM OUT SLOW · 4s,three_bottles
HOOK,28,Después te vamos a enseñar tres que sí están construidas,Hand opening a bottle cap with a bottle opener,5474555,3.4,01:27.30,01:30.70,STATIC,opening_cap
HOOK,29,para cumplir lo que ponen en la etiqueta.,Hand opening a bottle cap with a bottle opener,5474555,2.8,01:30.70,01:33.50,PAN LEFT · 4s,opening_cap
HOOK,30,Vamos a ello.,"Decreasing trend red line graph, stock market stagnation",6590339,1,01:33.50,01:34.50,DIAGONAL PAN + ZOOM IN · 4s,stock_decline1
MARCA 7 - COOSUR,31,Número 7.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,0.7,01:34.50,01:35.20,ZOOM IN FAST · 2s,shelf_oils
MARCA 7 - COOSUR,32,Coosur.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,0.3,01:35.20,01:35.50,PAN UP · 4s,generic_shelf
MARCA 7 - COOSUR,33,La marca del súper que parece independiente y no lo es.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.8,01:35.50,01:39.30,ZOOM IN SLOW · 4s,network_anim
MARCA 7 - COOSUR,34,Coosur lleva décadas en las baldas de los supermercados españoles,Aerial View of Olive Grove Landscape,6956087,3.4,01:39.30,01:42.70,PAN RIGHT · 4s,olive_grove_aerial
MARCA 7 - COOSUR,35,"con un diseño sobrio, verde, de aspecto casi institucional.",Aerial View of Olive Grove Landscape,6956087,3.1,01:42.70,01:45.80,ZOOM OUT SLOW · 4s,olive_grove_aerial
MARCA 7 - COOSUR,36,Nada en el envase te dice que Coosur forma parte,Automated Beverage Bottling Line,5540725,3.4,01:45.80,01:49.20,STATIC,bottling_line
MARCA 7 - COOSUR,37,"de un grupo cooperativo mucho más grande, DCOOP, el mayor",Automated Beverage Bottling Line,5540725,3.4,01:49.20,01:52.60,PAN LEFT · 4s,bottling_line
MARCA 7 - COOSUR,38,"productor de aceite de oliva del mundo, que agrupa a",Automated Beverage Bottling Line,5540725,3.4,01:52.60,01:56.00,DIAGONAL PAN + ZOOM IN · 4s,bottling_line
MARCA 7 - COOSUR,39,decenas de miles de agricultores a través de decenas de,Automated Beverage Bottling Line,5540725,3.4,01:56.00,01:59.40,ZOOM IN FAST · 2s,bottling_line
MARCA 7 - COOSUR,40,cooperativas locales y controla varias marcas que tú crees que,Automated Beverage Bottling Line,5540725,3.4,01:59.40,02:02.80,PAN UP · 4s,bottling_line
MARCA 7 - COOSUR,41,compiten entre sí en el mismo lineal.,Automated Beverage Bottling Line,5540725,2.4,02:02.80,02:05.20,ZOOM IN SLOW · 4s,bottling_line
MARCA 7 - COOSUR,42,Eso no es ilegal.,Red and Blue Industrial Barrels Stored in an Outdoor Warehouse Yard,7249724,1.4,02:05.20,02:06.60,PAN RIGHT · 4s,warehouse_barrels
MARCA 7 - COOSUR,43,No es ni siquiera inusual.,Bottled Drink Production Line,5540686,1.7,02:06.60,02:08.30,ZOOM OUT SLOW · 4s,conveyor_bottles
MARCA 7 - COOSUR,44,Es simplemente cómo funciona la industria del aceite a gran escala.,Vast Olive Grove at Sunset,6163120,3.8,02:08.30,02:12.10,STATIC,olive_grove_sunset
MARCA 7 - COOSUR,45,Pero cambia lo que estás comprando cuando eliges Coosur en,Close-up of a Bottle with Yellow Cap,3811676,3.4,02:12.10,02:15.50,PAN LEFT · 4s,yellow_cap
MARCA 7 - COOSUR,46,vez de otra opción del súper pensando que estás eligiendo,Close-up of a Bottle with Yellow Cap,3811676,3.4,02:15.50,02:18.90,DIAGONAL PAN + ZOOM IN · 4s,yellow_cap
MARCA 7 - COOSUR,47,entre dos productores distintos.,Close-up of a Bottle with Yellow Cap,3811676,1.4,02:18.90,02:20.30,ZOOM IN FAST · 2s,yellow_cap
MARCA 7 - COOSUR,48,Aquí está la parte que importa de verdad.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,2.8,02:20.30,02:23.10,PAN UP · 4s,magnifier_doc
MARCA 7 - COOSUR,49,Coosur mezcla aceite procedente de múltiples cooperativas y múltiples campañas,"Business people handshake in boardroom, corporate partnership deal",2466239,3.4,02:23.10,02:26.50,ZOOM IN SLOW · 4s,handshake_boardroom
MARCA 7 - COOSUR,50,para mantener un sabor constante todo el año.,"Business people handshake in boardroom, corporate partnership deal",2466239,2.8,02:26.50,02:29.30,PAN RIGHT · 4s,handshake_boardroom
MARCA 7 - COOSUR,51,La campaña de recolección en España ocurre entre octubre y enero.,Forklift operator steering down warehouse aisle carrying pallet of boxes,8378084,3.8,02:29.30,02:33.10,ZOOM OUT SLOW · 4s,forklift1
MARCA 7 - COOSUR,52,"Todo lo que se vende el resto del año, de",Warehouse shelves filled with stacked cardboard boxes,6684302,3.4,02:33.10,02:36.50,STATIC,boxes_shelves
MARCA 7 - COOSUR,53,"febrero a septiembre, procede de aceite ya almacenado, mezclado y",Warehouse shelves filled with stacked cardboard boxes,6684302,3.4,02:36.50,02:39.90,PAN LEFT · 4s,boxes_shelves
MARCA 7 - COOSUR,54,ajustado en depósitos meses antes de llegar a tu botella.,Warehouse shelves filled with stacked cardboard boxes,6684302,3.4,02:39.90,02:43.30,DIAGONAL PAN + ZOOM IN · 4s,boxes_shelves
MARCA 7 - COOSUR,55,Eso significa que la botella que compras en enero y,Price tags at a market stall with blurred fresh produce,6143948,3.4,02:43.30,02:46.70,ZOOM IN FAST · 2s,price_tags1
