Orden,Timeline,Sección,Ref. shot,Freepik ID,CapCut Motion,"URL de descarga (firmada, ~1h)"
1,(00:00.00-00:00.40),HOOK,hand_cart_cans,5954197,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/ed9362a8-26b0-5c49-95a1-1aacd85fb8a0/horizontal/downloads/4k.mp4?filename=0_Consumer_Shopper_3840x2160.mp4&user_id=102901249&token=exp=1785670179~id=102901249~hmac=6fbd37c4306b5fe66ac552af4f5d2dcf117cb7148076ddae5e088158c4739307
2,(00:00.40-00:04.00),HOOK,hand_holding_tuna,2476908,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/27156b88-c406-4fbb-93ca-466b084a20c1/horizontal/downloads/4k.mp4?filename=4993647_Package_Women_3840x2160.mp4&user_id=102901249&token=exp=1785670222~id=102901249~hmac=37613f8933ddb0cda1a974945a6d81a8dd1bcaa692a71e2c930b562b498c1497
3,(00:04.00-00:06.10),HOOK,hand_holding_tuna,2476908,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/27156b88-c406-4fbb-93ca-466b084a20c1/horizontal/downloads/4k.mp4?filename=4993647_Package_Women_3840x2160.mp4&user_id=102901249&token=exp=1785670222~id=102901249~hmac=37613f8933ddb0cda1a974945a6d81a8dd1bcaa692a71e2c930b562b498c1497
4,(00:06.10-00:09.70),HOOK,network_converge,4721014,STATIC,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
5,(00:09.70-00:13.30),HOOK,network_converge,4721014,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
6,(00:13.30-00:16.90),HOOK,cans_aligned_low,7103683,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/6770ac80-a5a2-56dd-993d-bde6afbeff10/horizontal/downloads/4k.mp4?filename=0_Vegetables_Setting_3840x2160.mp4&user_id=102901249&token=exp=1785670225~id=102901249~hmac=ce3b67c60fb7786e94947de46597199beb88cbc5a1a10d7d7556457071d140c7
7,(00:16.90-00:20.10),HOOK,opening_tuna_dramatic,6168409,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/7cb99d8f-bd24-5dff-a3df-c3be9f146713/horizontal/downloads/original.mp4?filename=0_Opening_Canned_Tuna_Pulltab_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670226~id=102901249~hmac=e7f1e937f42e7c643f5626b69c6f625919a90d1476c78e4a0538bd79ca144b6e
8,(00:20.10-00:21.50),HOOK,reading_glass_files,2082900,PAN UP · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
9,(00:21.50-00:25.10),HOOK,cans_colorful_shelf,6843740,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
10,(00:25.10-00:28.70),HOOK,cans_colorful_shelf,6843740,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
