Ref.,Titulo del clip,Freepik ID,Tipo
generic_shelf,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,video
network_anim,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,video
magnifier_doc,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,video
cert_stamp,Stamp with CERTIFIED text of flat style isolated on white background,3982793,video
handshake_boardroom,"Business people handshake in boardroom, corporate partnership deal",2466239,video
vintage_factory,"Archival footage, women working in factories, 1915",98280,video
aisle_dolly,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,video
spain_flag1,Waving Flag of Spain,8567147,video
two_bottles_compare,Two bottles of olive oil and extra virgin olive,2310359,video
modern_oil_factory,Interior of modern natural oil factory,6067479,video
hand_cart_cans,Hand of elegant shopper reaches into metal grocery cart to lift two tins of canned food by precise fingertips,5954197,video
hand_holding_tuna,Women holding a canned tuna,2476908,video
network_converge,Animation of network of connections and data processing over dark background,4721014,video
cans_aligned_low,"A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,video
opening_tuna_dramatic,A close-up sequence shows hands opening a pull-tab can of tuna chunks in mineral water,6168409,video
reading_glass_files,Animation of reading glass and text over files,2082900,video
cans_colorful_shelf,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,video
opening_tuna_can,Opening a can of tuna,5044250,video
canned_tuna_plain,Canned Tuna,3420831,video
cannery_conveyor,Closeup of cans moving on a conveyor belt in a food production line,3455151,video
rocky_island_aerial,Stunning aerial view of rocky island surrounded by ocean waves,6758697,video
canned_tuna_wood,Canned tuna on wooden table,2427530,video
world_map_lines,Lines showing countries connecting on world map,3071564,video
fishing_boat_galicia,Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,video
factory_workers_pink,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,video
chile_flag,Chile national flag waving on flagpole,3091163,video
warning_icon,Alert sign attention mark caution icon triangle exclamation mark danger warning emergency hazard,5695539,video
two_cans_compare,Two Cans of Food on a Blue Wooden Tabletop,3680436,video
share_button_glow,Animated Share Button Glowing on Black Background,7196718,video
finger_share_phone,Finger on Share Button on Mobile Phone,4838647,video
youtube_share_anim,Premium Youtube Share Animation 1,7055249,video
sunflower_oil,Sunflower oil bottle. Cooking oil in glass bottle. Cooking ingredients,1474089,video
kitchen_scale,Close up of kitchen digital weighing scale displaying zero with metallic container placed on top,5302538,video
salt_pouring,Closeup of a Hand Pouring Salt From a Shaker,3479267,video
reading_label_store,Person Reading Product Label in Grocery Store,4972749,video
elegant_table,"Minimalist table setting with white plate, fork, and knife arranged neatly",5070095,video
deli_shopping,Woman Shopping at an Italian Delicatessen,4874053,video
canning_machine,"Industrial canning machine tops and seals cans, four aluminum beverage cans move down production line, HD",722777,video
world_map_network,Blue world map with growing white network of connected icons on black background,1948107,video
brazil_flag,Brazil Flag Waving Cloth Textured,8588916,video
bar_chart_growth,Animated Bar Chart Showing Progressive Growth of Colorful Data Columns,9083856,video
fish_factory_line,Men work cutting and cleaning fish on an assembly line at a fish processing factory,122898,video
fish_fillet_worker,Worker slices fish fillet lengthwise with fish tail resting on cutting board,8939865,video
hands_sorting_fish,Hands Sorting Fresh Fish and Adding Ice at a Market,7803085,video
checklist_anim,Animated Checklist on Clipboard with Stopwatch for Task Completion,7352827,video
hand_spoon_tuna,Hands open a can of tuna with a spoon,3420163,video
